"team_api_id","team_long_name","buildUp","chanceCreation","defense","goals"
6547,"FC Penafiel",147,146,121,29
8613,"Boavista FC",153,128,148,51
6367,"Uniao da Madeira",0,0,0,27
188163,"Tondela",0,0,0,34
8596,"Falkirk",0,200,200,68
8548,"Rangers",153,153,151,324
9860,"Heart of Midlothian",168,176,158,317
9927,"Motherwell",165,116,132,403
8597,"Kilmarnock",158,158,144,346
10251,"Hibernian",148,139,124,259
8485,"Aberdeen",176,186,157,365
8066,"Inverness Caledonian Thistle",127,174,139,345
9925,"Celtic",156,164,169,695
9800,"St. Mirren",124,164,166,257
8429,"Hamilton Academical FC",143,197,155,185
9938,"Dundee United",171,149,143,438
8467,"St. Johnstone FC",162,136,140,308
8457,"Dunfermline Athletic",0,168,148,40
8284,"Dundee FC",142,158,146,127
8649,"Ross County FC",153,153,123,192
8426,"Partick Thistle F.C.",143,160,141,135
10267,"Valencia CF",116,146,147,484
8661,"RCD Mallorca",172,163,156,238
8371,"CA Osasuna",143,168,168,232
10205,"Villarreal CF",126,143,139,364
9783,"RC Deportivo de La Coruña",155,145,154,241
8633,"Real Madrid CF",153,165,175,843
8388,"CD Numancia",137,152,158,38
8634,"FC Barcelona",122,141,191,849
8696,"Racing Santander",147,159,151,160
8302,"Sevilla FC",159,165,149,478
9869,"Real Sporting de Gijón",153,159,140,200
8305,"Getafe CF",113,143,134,345
8603,"Real Betis Balompié",145,155,165,225
8479,"RC Recreativo",118,109,143,34
8558,"RCD Espanyol",146,152,122,338
10281,"Real Valladolid",148,147,134,170
8315,"Athletic Club de Bilbao",131,146,156,415
9865,"UD Almería",152,151,135,202
9906,"Atlético Madrid",157,172,143,524
9864,"Málaga CF",129,131,136,377
9868,"Xerez Club Deportivo",0,138,153,38
8394,"Real Zaragoza",154,165,140,159
9867,"CD Tenerife",163,161,171,40
10278,"Hércules Club de Fútbol",154,178,160,36
8581,"Levante UD",163,178,111,241
8560,"Real Sociedad",162,166,155,316
7878,"Granada CF",166,175,155,179
8370,"Rayo Vallecano",125,135,169,247
9910,"RC Celta de Vigo",152,139,169,184
10268,"Elche CF",151,164,158,65
8372,"SD Eibar",165,166,142,83
7869,"Córdoba CF",141,171,129,22
8306,"UD Las Palmas",147,148,149,45
9956,"Grasshopper Club Zürich",164,152,126,429
6493,"AC Bellinzona",0,148,138,128
10192,"BSC Young Boys",172,151,128,529
9931,"FC Basel",170,186,158,619
9930,"FC Aarau",142,181,145,153
10179,"FC Sion",155,165,146,371
10199,"FC Luzern",165,160,151,421
9824,"FC Vaduz",141,137,133,100
7955,"Neuchâtel Xamax",0,121,116,171
10243,"FC Zürich",157,151,146,468
10190,"FC St. Gallen",146,115,128,276
10191,"FC Thun",152,166,145,279
9777,"Servette FC",0,164,143,77
7730,"FC Lausanne-Sports",141,164,145,99
7896,"Lugano",0,0,0,46
