"id","player_api_id","player_name","player_fifa_api_id","overall_rating","gk_rating","appearances","leagues"
9384,339990,"Saleh Gomaa",212258,73,64,16,7
9385,24133,"Salif Diao",646,70,143,13,6
9386,240367,"Salif Sane",201956,77,60,62,26
9387,239061,"Salih Ucan",216814,73,48,1,2
9388,26391,"Salim Arrache",137971,NA,NA,4,3
9389,360510,"Salim Cisse",210234,69,56,11,4
9390,46495,"Salim Kerkar",179540,61,58,3,5
9391,198593,"Saliou Ciss",198687,73,51,9,5
9392,166889,"Sally Sarr",204521,65,57,45,9
9393,31906,"Salomon Kalou",158232,84,135,78,26
9394,364779,"Salomon Nirisarike",211553,63,49,1,4
9395,24168,"Salva Ballesta",111018,NA,NA,2,2
9396,280496,"Salva Chamorro",192795,62,57,1,1
9397,477604,"Salva Ruiz",210747,67,64,1,1
9398,102879,"Salva Sevilla",158144,75,149,33,9
9399,214449,"Salvador Agra",204737,75,47,36,15
9400,394824,"Salvador Ichazo",227668,70,351,2,2
9401,299393,"Salvatore Andrea Molina",219759,68,52,0,1
9402,39509,"Salvatore Aronica",137185,76,134,52,12
9403,37526,"Salvatore Bocchetti",168326,NA,NA,27,7
9404,30285,"Salvatore Lanna",5255,74,138,25,5
9405,39391,"Salvatore Masiello",138903,73,130,28,6
9406,27659,"Salvatore Sirigu",168435,84,410,107,4
9407,502421,"Sam Gallagher",213905,64,60,2,2
9408,78505,"Sam Hutchinson",169708,70,71,1,1
9409,318809,"Sam Larsson",209782,75,58,23,5
9410,32620,"Sam Morrow",159073,60,110,10,3
9411,391041,"Sam Nicholson",219684,65,48,23,11
9412,38077,"Sam Parkin",19184,70,103,14,6
9413,559084,"Sam Valcke",222253,60,42,2,2
9414,46898,"Sam Vokes",179746,72,96,3,3
9415,239919,"Sam Winnall",195036,67,52,1,1
9416,192807,"Samba Diakite",198082,74,128,27,20
9417,165679,"Samba Sow",191151,69,135,13,7
9418,166917,"Sambou Yatabare",192611,71,147,47,24
9419,303906,"Samed Yesil",204782,64,50,3,2
9420,67355,"Samel Sabanovic",184551,61,112,0,1
9421,38364,"Sami Allagui",168950,75,123,26,11
9422,24134,"Sami Hyypiae",19977,83,143,30,8
9423,42346,"Sami Khedira",179846,NA,NA,72,16
9424,164479,"Sami",201451,73,61,37,8
9425,46217,"Samir El Gaaouiri",148979,66,139,0,1
9426,187344,"Samir Fazli",193880,66,117,0,1
9427,42422,"Samir Handanovic",162835,84,412,138,2
9428,26181,"Samir Nasri",165239,86,159,90,12
9429,306732,"Samir Ramizi",211237,55,58,1,1
9430,41045,"Samir Ujkani",175897,74,368,17,2
9431,453324,"Samir",215651,73,61,0,2
9432,77773,"Sammir",208473,73,44,11,6
9433,264840,"Sammy Ameobi",203537,69,46,11,8
9434,37900,"Sammy Bossuyt",142258,72,352,88,2
9435,43250,"Sammy Clingan",155530,69,140,23,9
9436,33814,"Sammy Traore",116724,77,126,16,6
9437,543312,"Samu",211689,62,56,0,2
9438,667952,"Samu",223302,61,49,1,1
9439,422412,"Samuel Afum",212637,62,54,14,9
9440,186136,"Samuel Armenteros",189723,70,119,55,10
9441,364813,"Samuel Asamoah",213228,64,58,2,5
9442,157955,"Samuel Atrous",194115,61,312,1,1
9443,94013,"Samuel Bouhours",182818,65,126,34,8
9444,562062,"Samuel Castillejo",210617,77,66,25,6
9445,33639,"Samuel Eto'o",9676,89,144,62,15
9446,166686,"Samuel Fabris",184188,61,46,6,7
9447,474672,"Samuel Garcia",201379,78,48,26,11
9448,478112,"Samuel Gigot",219581,65,59,8,6
9449,176299,"Samuel Inkoom",192225,69,127,28,10
9450,46459,"Samuel Neva",116873,NA,NA,0,0
9451,34430,"Samuel Ricketts",150810,73,142,43,10
9452,142990,"Samuel Scheimann",203874,64,53,15,12
9453,184520,"Samuel Souprayen",189155,70,110,34,10
9454,302012,"Samuel Stanton",211457,72,57,5,5
9455,275457,"Samuel Stefanik",220143,67,56,10,7
9456,210117,"Samuel Umtiti",205600,80,66,64,7
9457,150510,"Samuel Yeboah",196677,65,124,4,1
